od_code,discount_amount
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,81862
11,0
12,0
13,0
14,42660
15,0
16,0
17,0
18,0
19,48260
20,0
21,0
22,118632
23,0
24,82636
25,0
26,0
27,0
28,0
29,118816
30,0
31,99832
32,0
33,0
34,0
35,0
36,0
37,0
38,40364
39,0
40,0
41,65522
42,0
43,0
44,0
45,76502
46,0
47,47336
48,0
49,0
50,49672
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,92950
60,0
61,0
62,0
63,0
64,0
65,0
66,101130
67,0
68,103034
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,117216
82,0
83,0
84,0
85,79018
86,0
87,85922
88,0
89,0
90,0
91,0
92,0
93,49304
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,103532
103,0
104,0
105,0
106,0
107,68672
108,0
109,0
110,54646
111,109272
112,112242
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,43730
122,0
123,103016
124,0
125,46418
126,0
127,0
128,0
129,0
130,0
131,57248
132,5174
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,92048
144,66008
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,101890
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,41650
173,43116
174,0
175,0
176,0
177,49328
178,44236
179,0
180,0
181,42028
182,0
183,0
184,0
185,0
186,90664
187,0
188,0
189,50116
190,0
191,0
192,0
193,0
194,0
195,60644
196,0
197,0
198,113654
199,0
